T(min)	U/S_S(mm)	D/S_S(mm)
0	0	0
0.166637	25.1784	3.80935
0.333308333	39.6551	2.10182
0.499948333	39.6415	3.62399
0.666636667	39.4627	2.33115
0.83332	39.3577	4.44508
0.999936667	57.8141	3.22475
1.166621667	38.6304	3.95002
1.333303333	46.4416	4.1267
1.499896667	54.6039	2.95842
1.666631667	49.7459	1.25591
1.83325	54.3573	2.23866
1.99995	54.3012	2.7536
2.166733333	54.4038	3.54265
2.333316667	54.9279	1.3196
2.50005	54.3434	2.61
2.666583333	54.4014	2.81718
2.83335	49.6044	2.71529
2.99995	57.0986	2.63224
3.166733333	56.0211	3.70565
3.33335	57.1135	3.0402
3.50005	58.9831	10.0719
3.666666667	50	12.8346
3.8334	54.6644	11.824
3.999966667	56.8194	15.9622
4.166616667	59.4308	-0.242265
4.3333	66.0413	-0.224357
4.500066667	72.1171	-0.248697
4.666733333	72.8214	14.7901
4.833316667	81.6042	12.815
4.999966667	81.7258	40.6303
5.166683333	79.8192	27.1128
5.333383333	82.6062	-0.151369
5.499966667	82.767	28.2049
5.6667	82.8425	38.1757
5.833283333	82.8293	33.7462
6.000033333	82.8132	42.1819
6.16675	82.8237	32.9807
6.33325	94.2024	22.9542
6.500016667	86.6565	39.8944
6.6667	94.9273	29.6872
6.83335	94.2477	41.2422
6.999916667	94.3265	23.1993
7.166683333	86.0025	24.2729
7.333366667	94.3019	30.4432
7.5	81.9487	33.334
7.66675	74.8606	34.5649
7.833333333	82.4436	31.1522
7.999916667	80.7359	21.1138
8.166633333	74.8213	30.7187
8.33325	95.9492	40.3809
8.5	95.9501	36.4285
8.666716667	87.4542	43.9313
8.833383333	87.6242	18.084
9	81.4596	33.3371
9.1666	83.5662	23.7532
9.333366667	94.2375	28.0568
9.5	73.5207	34.9973
9.666616667	72.006	42.8142
9.833416667	71.795	52.7629
10.00006667	72.2675	30.358
10.16665	72.3983	21.6596
10.33331667	71.5664	45.3717
